เด็ก เล่น ทราย สนุก	Children have fun playing in the sand.	เด็ก (child) / เล่น (play) / ทราย (sand) / สนุก (fun)
ทวีป เอเชีย ใหญ่มาก	Asia is very large.	ทวีป (continent) / เอเชีย (Asia) / ใหญ่มาก (very large)
ฉัน จะ ไป ทวีป ยุโรป	I will go to Europe.	ฉัน (I) / จะ (will) / ไป (go) / ทวีป (continent) / ยุโรป (Europe)
ฉัน ไป ทวีป อเมริกา	I went to America.	ฉัน (I) / ไป (go) / ทวีป (continent) / อเมริกา (America)
ทวีป อเมริกาใต้ สวยงาม มาก	South America is very beautiful.	ทวีป (continent) / อเมริกาใต้ (South America) / สวยงาม (beautiful) / มาก (very)
ทวีป อเมริกาเหนือ สวยงาม มาก	North America is very beautiful.	ทวีป (continent) / อเมริกา (America) / เหนือ (north) / สวยงาม (beautiful) / มาก (very)
ทวีป ออสเตรเลีย สวยงาม มาก	Australia is very beautiful.	ทวีป (continent) / ออสเตรเลีย (Australia) / สวยงาม (beautiful) / มาก (very)
ทวีปเอเชีย มี ความหลากหลาย	Asia is diverse.	ทวีป (continent) / เอเชีย (Asia) / มี (has) / ความหลากหลาย (diversity)
อาหาร ทวีปแอฟริกา อร่อย	African cuisine is delicious.	อาหาร (food) / ทวีป (continent) / แอฟริกา (Africa) / อร่อย (delicious)
เงิน ทอน อยู่ ไหน	Where is the change?	เงิน (money) / ทอน (change) / อยู่ (is) / ไหน (where)
ทั้ง ห้อง สวย จัง	The whole room is so beautiful.	ทั้ง (whole) / ห้อง (room) / สวย (beautiful) / จัง (very)
ฉัน รู้จัก ทั้งสอง 	I know both.	ฉัน (I) / รู้จัก (know) / ทั้งสอง (both)
ฉัน รู้ ทั้งหมด นี่	I know all of this.	ฉัน (I) / รู้ (know) / ทั้งหมด (all) / นี่ (this)
ไป ไหน ทัน ไหม	Can we make it in time?	ไป (go) / ไหน (where) / ทัน (in time) / ไหม (question marker)
เทคโนโลยี นี้ ทันสมัย	This technology is modern.	เทคโนโลยี (technology) / นี้ (this) / ทันสมัย (modern)
อย่า ทิ้ง ขยะ เรี่ยราด	Do not litter.	อย่า (do not) / ทิ้ง (throw) / ขยะ (garbage) / เรี่ยราด (litter)
ที่ เขี่ย บุหรี่ เต็ม แล้ว	The ashtray is full.	ที่ (place) / เขี่ย (to flick) / บุหรี่ (cigarette) / เต็ม (full) / แล้ว (already)
ฉัน ชอบ ที่นอน นี้	I like this bed.	ฉัน (I) / ชอบ (like) / ที่นอน (mattress) / นี้ (this)
สวย ที่สุด ใน โลก	The most beautiful in the world.	สวย (beautiful) / ที่สุด (most) / ใน (in) / โลก (world)
ที่อยู่ ของ ฉัน อยู่ไหน	Where is my address?	ที่อยู่ (address) / ของ (of) / ฉัน (my) / อยู่ไหน (where is)
ราคา เท่าไร ครับ	How much is it?	ราคา (price) / เท่าไร (how much) / ครับ (polite particle for men)
พรุ่งนี้ ไป เที่ยว กัน	Let's go on a trip tomorrow.	พรุ่งนี้ (tomorrow) / ไป (go) / เที่ยว (travel) / กัน (together)
ฉัน ดู โทรทัศน์	I watch television.	ฉัน (I) / ดู (watch) / โทรทัศน์ (television)
ฉัน รัก อาหาร ไทย	I love Thai food.	ฉัน (I) / รัก (love) / อาหาร (food) / ไทย (Thai)
ธุรกิจ ของ ฉัน ขยาย	My business is expanding.	ธุรกิจ (business) / ของ (of) / ฉัน (my) / ขยาย (expand)
ฉัน รัก เธอ มาก	I love you very much.	ฉัน (I) / รัก (love) / เธอ (you) / มาก (very much)
นอกจาก คุณ ก็ ฉัน	Except for you, there's me.	นอกจาก (besides) / คุณ (you) / ก็ (also) / ฉัน (I)
