เขา ถีบ ลูกบอล	He kicked the ball.	เขา (he) / ถีบ (kick) / ลูกบอล (ball)
ถึง แม้ว่า ฝน จะ ตก	Even though it is raining.	ถึง (even) / แม้ (though) / ว่า (that) / ฝน (rain) / จะ (will) / ตก (fall)
เถียง กับ พี่สาว	Argue with sister. 	เถียง (argue) / กับ (with) / พี่สาว (sister)
มี ร้านอาหาร แถว นั้น ไหม	Is there a restaurant around there?	มี (is there) / ร้านอาหาร (restaurant) / แถว (area) / นั้น (there) / ไหม (question particle)
เตียง ไม้ ทนทาน ถาวร	Durable wooden bed.	เตียง (bed) / ไม้ (wood) / ทนทาน (durable) / ถาวร (permanent)
ทรัพยากร มีค่า มาก	Resources are very valuable.	ทรัพยากร (resources) / มี (has) / ค่า (value) / มาก (much)
น้ำ ท่วม ถนน อีกแล้ว	The road is flooded again.	น้ำ (water) / ท่วม (flood) / ถนน (road) / อีกแล้ว (again)
ทหาร เรือ ทำ อาหาร เก่ง	The sailor is good at cooking.	ทหารเรือ (navy)/ ทำ (make)/ อาหาร (food)/ เก่ง (skilled)
พ่อ ของ ฉัน เป็น ทหาร อากาศ	My father is an airman.	พ่อ (father) / ของ (of) / ฉัน (my) / เป็น (is) / ทหาร (soldier) / อากาศ (air)
แม่ ทอ ผ้า สวย	Mother weaves beautiful cloth.	แม่ (mother) / ทอ (weave) / ผ้า (cloth) / สวย (beautiful)
ท่อ น้ำ รั่ว แล้ว	The water pipe is leaking.	ท่อ (pipe) / น้ำ (water) / รั่ว (leaking) / แล้ว (already)
นักเรียน ท่องจำ บทเรียน	Students memorize the lesson.	นักเรียน (student) / ท่องจำ (memorize) / บทเรียน (lesson)
ท่อน้ำ รั่ว อีกแล้ว	The pipe is leaking again.	ท่อน้ำ (pipe) / รั่ว (leak) / อีกแล้ว (again)
เลข ทะเบียน รถ ใหม่	New car registration number.	เลข (number) / ทะเบียน (registration) / รถ (car) / ใหม่ (new)
ทะเลสาบ สวย มาก ๆ	The lake is very beautiful.	ทะเลสาบ (lake) / สวย (beautiful) / มาก ๆ (very)
เขา อ่าน หนังสือ ทั้งคืน	He read the book all night.	เขา (he) / อ่าน (read) / หนังสือ (book) / ทั้งคืน (all night)
เธอ ทำงาน ทั้งวัน	She works all day.	เธอ (she) / ทำงาน (works) / ทั้งวัน (all day)
ฉัน รัก เธอ ทั้งหมด ทั้งสิ้น	I love all of you entirely.	ฉัน (I) / รัก (love) / เธอ (you) / ทั้งหมด (all) / ทั้งสิ้น (entirely)
ท่าน ทั้งหลาย โปรด ฟัง	Ladies and gentlemen, please listen.	ท่าน (you) / ทั้งหลาย (all) / โปรด (please) / ฟัง (listen)
เดินทาง ทั่ว ประเทศไทย	Travel all over Thailand.	เดินทาง (travel) / ทั่ว (all over) / ประเทศไทย (Thailand)
การ ใช้ งาน ทั่วไป	General use.	การ (use) / ใช้ (using) / งาน (work) / ทั่วไป (general)
ท่า นี้ สวย มาก	This pose is very beautiful.	ท่า (pose) / นี้ (this) / สวย (beautiful) / มาก (very)
เลี้ยว ทางขวา ครับ	Turn right, sir.	เลี้ยว (turn) / ทาง (way) / ขวา (right) / ครับ (sir)
เลี้ยว ทางซ้าย ตรงนั้น	Turn left there.	เลี้ยว (turn) / ทาง (way) / ซ้าย (left) / ตรงนั้น (there)
มา ทาง นี้ หน่อย สิ	Come this way a bit.	มา (come) / ทางนี้ (this way) / หน่อย (a bit) / สิ (please)
ฉัน จะ ไป ทางโน้น	I will go that way.	ฉัน (I) / จะ (will) / ไป (go) / ทางโน้น (that way)
เรา นั่ง ทางรถไฟ	We take the train.	เรา (we) / นั่ง (sit) / ทางรถไฟ (railway)
ทานข้าว กับ เพื่อน	Have a meal with friends.	ทาน (eat) / ข้าว (rice) / กับ (with) / เพื่อน (friend)
ฉัน ชอบ ทำกับข้าว	I like cooking.	ฉัน (I) / ชอบ (like) / ทำกับข้าว (cook)
ทิศ ใต้ มี ฝน	South has rain.	ทิศ (direction) / ใต้ (south) / มี (has) / ฝน (rain)
ที่ตั้ง อยู่ ใน เมือง	Located in the city.	ที่ตั้ง (location) / อยู่ (is) / ใน (in) / เมือง (city)
แม่ ใช้ ที่ตีไข่	Mom uses a whisk.	แม่ (mother) / ใช้ (use) / ที่ตีไข่ (egg beater)
